2576	-332	18272	8	-1356	158	-1.03075	-8.02341
248	748	18368	624	1752	332	2.33176	-0.772905
-2256	-172	13124	-377	-595	-286	-0.740009	9.75293
-1236	1568	13688	461	-337	-47	6.50866	5.12636
452	-896	18392	29	-739	-476	-2.78822	-1.40615
1308	892	14080	-560	202	-410	3.60947	-5.29686
-372	180	15780	302	761	-491	0.653354	1.35036
-1044	1312	15548	-20	-272	-184	4.81263	3.8279
500	-1352	18616	-642	-742	-554	-4.15236	-1.53448
196	392	15008	575	906	322	1.49606	-0.747968
-860	200	13692	-407	-102	-513	0.835218	3.59367
1412	-2188	15512	205	-512	-141	-7.99609	-5.15038
744	-816	21352	604	432	479	-2.18726	-1.99418
-1096	1052	14804	-157	238	373	4.05366	4.2235
-900	1160	12164	-314	424	285	5.43268	4.21249
724	-1088	17656	-185	-998	-265	-3.52327	-2.34371
988	-1664	18580	-259	60	-406	-5.1105	-3.03175
716	1304	15976	420	958	162	4.66162	-2.55763
-1776	-240	13660	-353	-163	-326	-0.998158	7.40661
548	-116	16348	-291	-1478	64	-0.406317	-1.91984
-236	-1176	17580	224	549	334	-3.82671	0.767397
804	164	14560	-349	-127	230	0.644356	-3.16045
1344	-608	15168	227	232	-535	-2.28649	-5.05957
-400	-84	18376	301	-582	184	-0.261845	1.24698
-60	632	16804	-781	78	-16	2.15387	0.204434
-1500	-276	12144	138	405	300	-1.29214	7.03958
596	-308	14648	120	144	-705	-1.20357	-2.32946
1364	-1116	17344	-134	-1854	-275	-3.67032	-4.48747
804	2200	18528	455	1483	788	6.76524	-2.46741
-2828	-948	14444	-712	158	-347	-3.68532	11.0546
684	712	14832	68	-40	15	2.74542	-2.63738
-40	-2116	17208	-195	-1351	-733	-7.01023	0.132188
2944	1704	16216	200	325	922	5.90291	-10.2348
-1152	568	14480	137	575	-473	2.23929	4.54528
-1456	-1608	13900	-190	-18	441	-6.56325	5.94049
1220	-424	18312	-123	-1492	-362	-1.32347	-3.81056
48	-148	16864	104	1277	602	-0.502818	-0.163074
-900	924	14160	-17	-88	-509	3.726	3.62909
-216	-1104	15140	-107	-102	-395	-4.17017	0.81521
1424	1220	19828	297	-177	103	3.5119	-4.10007
-1064	-1388	16128	-442	681	-1	-4.90822	3.7606
-584	1892	13444	178	503	642	8.00329	2.46309
-2052	-1012	14028	41	-596	-852	-4.08295	8.30087
3752	1164	18144	-292	-1689	850	3.59484	-11.6602
-592	-728	17956	636	2054	-225	-2.32044	1.88678
-1692	-168	12680	-525	-212	-239	-0.752411	7.5999
-1412	1216	15796	248	-460	-77	4.38462	5.09309
1108	-1232	18948	-474	-500	322	-3.71381	-3.33957
452	1216	14872	90	940	20	4.67221	-1.73505
-744	-76	13944	-222	-181	-263	-0.311837	3.05415
-92	-524	17708	538	162	384	-1.69493	0.297541
100	-1292	19260	-675	-929	-306	-3.83772	-0.296816
244	900	12464	627	1222	818	4.12925	-1.11859
-516	148	13424	-282	-784	-879	0.631196	2.20115
2016	-1332	17396	35	-1360	536	-4.34956	-6.59132
348	-260	19252	675	808	-337	-0.773611	-1.03547
-1740	-940	14092	-438	338	266	-3.78756	7.02348
204	1828	13244	175	-143	46	7.85766	-0.874182
-12	-1304	17152	30	-778	450	-4.34761	0.0399703
2372	-292	19076	-131	-542	39	-0.870268	-7.08722
-516	-540	14800	329	1303	245	-2.08833	1.99547
-424	720	12948	285	197	160	3.18107	1.87267
-336	176	17556	-236	-1484	-55	0.574269	1.09638
692	320	18468	26	702	575	0.991984	-2.14556
-408	744	14172	35	340	-586	3.00391	1.64678
2000	-124	13632	-321	-413	-253	-0.515642	-8.34618
-968	-252	18664	1213	93	21	-0.772518	2.96869
-624	-584	18824	-1536	-171	66	-1.77601	1.8977
-40	1548	12468	911	684	665	7.07747	0.182416
20	0	12752	-513	14	-173	0	-0.0898616
2152	-1448	17632	-102	-1911	-378	-4.66036	-6.93546
208	-636	19984	528	1537	292	-1.82275	-0.59603
-1340	2192	13024	-115	103	-85	9.50436	5.79341
-524	1972	12352	-251	-205	7	9.06272	2.39882
-420	-1288	17324	-172	-873	182	-4.25074	1.38498
776	-584	17748	-183	99	-381	-1.88285	-2.50221
1324	484	15004	320	554	-148	1.84046	-5.04029
-1516	216	14392	336	33	49	0.85512	6.01248
-496	-192	17788	-937	-1328	-189	-0.618175	1.59713
520	-524	16696	820	927	642	-1.79675	-1.78303
-344	396	14904	-606	-69	-329	1.52159	1.32175
2144	-1424	15604	245	132	-607	-5.16602	-7.79151
-408	-468	17460	278	-494	-150	-1.53498	1.33815
-392	1908	15836	-526	-292	349	6.86808	1.40782
-1852	848	14192	319	544	300	3.39079	7.42177
-12	-584	15972	-365	-315	-106	-2.09403	0.0430184
2216	-1888	18372	17	-701	-602	-5.82548	-6.84201
904	2472	15812	819	1696	644	8.87127	-3.23295
-1976	592	13400	-366	-411	-383	2.5026	8.38048
-872	-616	16616	-198	-125	205	-2.12022	3.00204
16	-1728	16536	285	-321	-525	-5.96571	-0.0551383
1096	1068	14540	-452	204	392	4.18913	-4.29917
412	272	16004	527	-96	-521	0.973369	-1.47446
-2244	-812	15576	2	-45	396	-2.95377	8.1871
2036	576	18088	-476	-963	17	1.81249	-6.419
-756	-12	13872	613	1364	335	-0.0494904	3.11943
780	544	14984	-694	-516	-424	2.07642	-2.97791
-364	-3248	17876	360	-392	-607	-10.296	1.14774
2212	1492	19636	224	275	454	4.31794	-6.40897
-1024	536	13720	-397	-29	83	2.23104	4.26515
-668	1084	13972	-29	383	66	4.43129	2.72903
-780	-1852	16580	-63	-559	-653	-6.36658	2.67685
2368	-356	17984	-145	-367	108	-1.12434	-7.49968
836	1436	14932	627	1005	78	5.48467	-3.1898
-1916	-232	13916	-410	-132	-188	-0.946191	7.8383
1080	548	17424	-82	-1070	577	1.79796	-3.54511
-624	-2204	18416	420	1021	-124	-6.82074	1.9269
208	332	13568	-503	-240	-145	1.40155	-0.878024
464	-716	14968	433	665	-524	-2.73736	-1.77354
-540	192	18312	482	-262	267	0.600459	1.689
-148	588	17496	-691	-77	60	1.92479	0.484384
-964	1328	12288	359	513	455	6.14943	4.45983
112	-1248	13528	-593	-171	-665	-5.27062	-0.472342
1188	-1580	18164	74	-1210	-280	-4.96083	-3.72801
660	-648	19240	566	1457	3	-1.92785	-1.96356
-852	1672	12724	-106	-300	109	7.46954	3.79826
20	880	15092	-503	-57	91	3.33708	-0.0757999
-200	-792	17192	411	-450	254	-2.63746	0.665804
148	-176	16524	-29	122	-654	-0.61022	-0.513137
412	928	15896	126	218	-160	3.33999	-1.48216
-1560	372	16220	485	862	-203	1.3078	5.49224
68	-492	17652	-134	-486	-185	-1.59653	-0.220631
604	892	15600	820	566	532	3.27013	-2.21366
-848	1032	14724	-410	15	-314	4.00267	3.28815
